id_surat,nomor_surat,tanggal_diterima,pengirim,perihal,jenis_surat_id,status,raw_data
SRT-2087,65/ITERA/BAU/2025,2025-08-10,Biro Akademik Umum,Corrupti inventore magni ea quisquam id.,2,Proses,{}
SRT-2088,66/ITERA/BAU/2024,2024-09-13,Unit Kerja 13,Blanditiis totam ea voluptate nam adipisci.,1,Proses,{}
SRT-2089,67/ITERA/BAU/2024,2024-02-06,UPT TIK,Debitis nobis fuga iure.,4,Disposisi,{}
SRT-2090,68/ITERA/BAU/2024,2024-04-22,Jurusan Teknologi Produksi dan Industri,Voluptatibus cupiditate nobis.,2,Proses,{}
SRT-2091,69/ITERA/BAU/2024,2024-02-20,Biro Umum dan Keuangan,Occaecati nihil nemo recusandae impedit voluptate eius.,1,Disposisi,{}
SRT-2092,70/ITERA/BAU/2025,2025-07-14,Unit Kerja 15,Porro aspernatur repudiandae a soluta cupiditate.,3,Selesai,{}
SRT-2093,71/ITERA/BAU/2025,2025-08-04,Biro Akademik Umum,Doloribus nulla et ipsum.,1,Selesai,{}
SRT-2094,72/ITERA/BAU/2024,2024-03-18,Unit Kerja 11,Fugit ut eligendi nostrum at maiores.,1,Disposisi,{}
SRT-2095,73/ITERA/BAU/2025,2025-04-06,Prodi Sains Data,Dolor beatae veniam enim nobis assumenda earum.,1,Selesai,{}
SRT-2096,74/ITERA/BAU/2024,2024-03-14,Biro Akademik Umum,Hic debitis quidem.,4,Disposisi,{}
SRT-2097,75/ITERA/BAU/2024,2024-02-09,Prodi Sains Data,Ipsa beatae ut rem officia.,3,Proses,{}
SRT-2098,76/ITERA/BAU/2025,2025-10-07,Jurusan Teknologi Produksi dan Industri,Quasi nihil eligendi fugiat error.,3,Selesai,{}
SRT-2099,77/ITERA/BAU/2025,2025-10-11,Biro Akademik Umum,Dolorem mollitia eligendi laudantium.,5,Selesai,{}
SRT-2100,78/ITERA/BAU/2025,2025-02-02,Rektorat,Magnam delectus labore.,3,Selesai,{}
SRT-2101,79/ITERA/BAU/2025,2025-03-10,Biro Akademik Umum,Tempore praesentium nisi dolorem porro velit.,3,Proses,{}
SRT-2102,80/ITERA/BAU/2024,2024-03-02,Jurusan Teknologi Produksi dan Industri,Provident ducimus corrupti laudantium rerum aliquam omnis.,3,Disposisi,{}
SRT-2103,81/ITERA/BAU/2025,2025-04-20,Unit Kerja 11,A ut accusantium exercitationem similique quod.,4,Selesai,{}
SRT-2104,82/ITERA/BAU/2025,2025-06-22,Prodi Informatika,Temporibus harum ratione corrupti in reiciendis vel.,5,Selesai,{}
SRT-2105,83/ITERA/BAU/2025,2025-04-08,Rektorat,Doloribus nostrum atque incidunt.,5,Selesai,{}
SRT-2106,84/ITERA/BAU/2024,2024-11-28,Fakultas Teknologi Industri,Voluptatibus illum nihil saepe cum eos fugit.,5,Proses,{}
SRT-2107,85/ITERA/BAU/2025,2025-02-11,Jurusan Teknologi Produksi dan Industri,Voluptatum tempora sint iure praesentium veritatis natus mollitia.,1,Selesai,{}
SRT-2108,86/ITERA/BAU/2025,2025-03-07,Prodi Informatika,Unde facilis atque ut eveniet autem.,4,Selesai,{}
SRT-2109,87/ITERA/BAU/2024,2024-10-05,Rektorat,Temporibus optio sit vero.,4,Selesai,{}
SRT-2110,88/ITERA/BAU/2024,2024-12-07,Unit Kerja 11,Temporibus officia deserunt consequuntur quam.,5,Selesai,{}
SRT-2111,89/ITERA/BAU/2023,2023-12-04,Biro Umum dan Keuangan,Corrupti dolor explicabo a aperiam distinctio.,2,Disposisi,{}
SRT-2112,90/ITERA/BAU/2023,2023-12-30,Jurusan Sains,Rem sapiente fuga porro et nobis nihil.,2,Disposisi,{}
SRT-2113,91/ITERA/BAU/2025,2025-05-28,Prodi Informatika,Voluptates numquam placeat fugiat sunt.,1,Selesai,{}
SRT-2114,92/ITERA/BAU/2024,2024-08-15,Fakultas Teknologi Industri,Incidunt mollitia a autem nihil commodi unde.,1,Selesai,{}
SRT-2115,93/ITERA/BAU/2023,2023-11-30,Unit Kerja 11,Error laudantium distinctio dolorum vel.,4,Disposisi,{}
SRT-2116,94/ITERA/BAU/2025,2025-04-18,Unit Kerja 15,Optio consequatur autem facilis.,5,Proses,{}
SRT-2117,95/ITERA/BAU/2025,2025-07-09,Fakultas Sains,Eligendi pariatur deleniti eveniet ab modi.,5,Selesai,{}
SRT-2118,96/ITERA/BAU/2023,2023-12-26,UPT TIK,Officiis quam maiores earum.,5,Proses,{}
SRT-2119,97/ITERA/BAU/2024,2024-04-02,Jurusan Teknologi Produksi dan Industri,Laudantium hic necessitatibus facere excepturi ab magnam blanditiis.,5,Selesai,{}
SRT-2120,98/ITERA/BAU/2024,2024-08-22,Jurusan Teknologi Produksi dan Industri,Veniam dolores consequatur doloremque saepe doloribus eius quia.,5,Selesai,{}
SRT-2121,99/ITERA/BAU/2025,2025-01-26,Unit Kerja 11,Amet praesentium provident perferendis ratione facilis.,5,Selesai,{}
SRT-2122,100/ITERA/BAU/2024,2024-10-30,Unit Kerja 15,Vel molestiae illo exercitationem error.,1,Selesai,{}
SRT-2123,101/ITERA/BAU/2024,2024-07-09,Unit Kerja 12,Delectus aut exercitationem excepturi sit.,3,Proses,{}
SRT-2124,102/ITERA/BAU/2025,2025-03-24,Unit Kerja 14,Velit est repellendus dolorum excepturi sit voluptate.,4,Proses,{}
SRT-2125,103/ITERA/BAU/2025,2025-08-02,Biro Umum dan Keuangan,Quisquam architecto tempora exercitationem similique harum.,5,Selesai,{}
SRT-2126,104/ITERA/BAU/2025,2025-04-12,Unit Kerja 12,Molestiae iure earum blanditiis.,4,Disposisi,{}
SRT-2127,105/ITERA/BAU/2025,2025-08-11,Unit Kerja 15,Voluptates voluptatum culpa neque optio quis ipsam repellendus.,1,Disposisi,{}
SRT-2128,106/ITERA/BAU/2024,2024-07-28,UPT TIK,Fugiat facere temporibus dicta praesentium.,4,Disposisi,{}
SRT-2129,107/ITERA/BAU/2025,2025-03-26,Fakultas Teknologi Industri,Voluptates recusandae quis deserunt.,5,Disposisi,{}
SRT-2130,108/ITERA/BAU/2025,2025-01-03,UPT TIK,Doloremque distinctio nam quia.,3,Proses,{}
SRT-2131,109/ITERA/BAU/2025,2025-02-06,Unit Kerja 15,Fugiat reprehenderit consectetur fuga earum ipsa.,4,Disposisi,{}
SRT-2132,110/ITERA/BAU/2024,2024-02-29,Jurusan Teknologi Produksi dan Industri,Corporis nihil cumque natus blanditiis neque tenetur.,1,Proses,{}
SRT-2133,111/ITERA/BAU/2024,2024-04-11,Biro Umum dan Keuangan,Aut eveniet modi adipisci.,5,Disposisi,{}
SRT-2134,112/ITERA/BAU/2025,2025-10-22,Unit Kerja 15,Cumque ipsam id iure.,4,Selesai,{}
SRT-2135,113/ITERA/BAU/2024,2024-09-09,Rektorat,Doloribus optio sed beatae.,4,Disposisi,{}
SRT-2136,114/ITERA/BAU/2024,2024-09-28,Fakultas Sains,Quis officia repudiandae.,2,Selesai,{}
SRT-2137,115/ITERA/BAU/2024,2024-11-30,Unit Kerja 12,Ad veniam officia quam sed dignissimos.,1,Proses,{}
SRT-2138,116/ITERA/BAU/2023,2023-12-30,Unit Kerja 11,Reiciendis magni dolore consequuntur provident enim.,2,Proses,{}
SRT-2139,117/ITERA/BAU/2024,2024-09-24,Jurusan Sains,Qui optio pariatur porro.,3,Disposisi,{}
SRT-2140,118/ITERA/BAU/2024,2024-02-02,Biro Akademik Umum,Impedit at qui ratione blanditiis ad culpa.,5,Disposisi,{}
SRT-2141,119/ITERA/BAU/2024,2024-02-26,Unit Kerja 15,Inventore cumque optio nihil quae.,4,Selesai,{}
SRT-2142,120/ITERA/BAU/2025,2025-06-22,Biro Umum dan Keuangan,Vitae ea ipsum sed.,5,Selesai,{}
SRT-2143,121/ITERA/BAU/2025,2025-07-12,Unit Kerja 15,Labore rerum laborum magni.,4,Selesai,{}
SRT-2144,122/ITERA/BAU/2025,2025-04-21,Jurusan Teknologi Produksi dan Industri,Dolore ipsa voluptatum expedita.,4,Proses,{}
SRT-2145,123/ITERA/BAU/2024,2024-09-04,Biro Umum dan Keuangan,Itaque animi eius ullam ad.,3,Selesai,{}
SRT-2146,124/ITERA/BAU/2024,2024-06-03,Unit Kerja 13,Voluptatum ut architecto praesentium quaerat.,3,Proses,{}
SRT-2147,125/ITERA/BAU/2024,2024-09-02,Fakultas Teknologi Industri,Laboriosam sed doloremque ad ea aliquam nobis.,5,Proses,{}
SRT-2148,126/ITERA/BAU/2024,2024-01-18,Jurusan Sains,Nemo accusamus dicta corrupti aspernatur.,3,Disposisi,{}
SRT-2149,127/ITERA/BAU/2024,2024-01-09,Unit Kerja 15,Eaque animi alias laudantium cumque autem et veniam.,4,Proses,{}
SRT-2150,128/ITERA/BAU/2025,2025-09-04,Unit Kerja 11,Cumque facilis rem porro.,1,Selesai,{}
SRT-2151,129/ITERA/BAU/2024,2024-11-09,Prodi Informatika,Atque aspernatur est delectus eligendi occaecati quia atque.,2,Proses,{}
SRT-2152,130/ITERA/BAU/2024,2024-10-11,Biro Umum dan Keuangan,Magnam minus similique atque vel incidunt.,2,Selesai,{}
SRT-2153,131/ITERA/BAU/2024,2024-07-24,Unit Kerja 13,Assumenda repudiandae animi itaque ab.,2,Disposisi,{}
SRT-2154,132/ITERA/BAU/2024,2024-01-24,UPT TIK,Neque provident eligendi nulla laboriosam.,1,Disposisi,{}
SRT-2155,133/ITERA/BAU/2023,2023-12-06,Fakultas Teknologi Industri,Explicabo provident tempore fugiat est.,1,Proses,{}
SRT-2156,134/ITERA/BAU/2025,2025-01-16,Prodi Informatika,Ab in explicabo non beatae optio facilis.,3,Proses,{}
SRT-2157,135/ITERA/BAU/2023,2023-11-29,Unit Kerja 11,Consectetur corrupti fugit.,3,Disposisi,{}
SRT-2158,136/ITERA/BAU/2025,2025-11-03,Jurusan Sains,Natus temporibus quos quisquam.,4,Proses,{}
SRT-2159,137/ITERA/BAU/2024,2024-02-14,Prodi Sains Data,Nesciunt dolor deleniti et nulla adipisci adipisci.,1,Selesai,{}
SRT-2160,138/ITERA/BAU/2025,2025-04-23,Unit Kerja 13,Et sed illo ut.,5,Proses,{}
SRT-2161,139/ITERA/BAU/2024,2024-07-22,Unit Kerja 13,Voluptatibus distinctio libero recusandae accusamus.,3,Selesai,{}
SRT-2162,140/ITERA/BAU/2023,2023-12-06,Fakultas Sains,Quae ex quae quisquam labore.,3,Selesai,{}
SRT-2163,141/ITERA/BAU/2025,2025-09-25,Unit Kerja 15,Corporis perspiciatis magni.,3,Proses,{}
SRT-2164,142/ITERA/BAU/2024,2024-06-10,Prodi Informatika,Magni hic impedit quisquam quibusdam fugiat.,4,Proses,{}
SRT-2165,143/ITERA/BAU/2024,2024-10-15,Jurusan Teknologi Produksi dan Industri,Repudiandae quibusdam cum consequatur molestias temporibus dolorem.,2,Proses,{}
SRT-2166,144/ITERA/BAU/2025,2025-04-18,Jurusan Teknologi Produksi dan Industri,Asperiores cum similique accusantium vero quia mollitia tempora.,5,Disposisi,{}
SRT-2167,145/ITERA/BAU/2024,2024-03-24,Rektorat,Iure earum quasi dolorem illo.,4,Proses,{}
SRT-2168,146/ITERA/BAU/2025,2025-06-13,Unit Kerja 15,Sunt alias pariatur iusto et.,3,Disposisi,{}
SRT-2169,147/ITERA/BAU/2025,2025-01-01,Prodi Informatika,Quas unde modi quod nisi.,1,Proses,{}
SRT-2170,148/ITERA/BAU/2025,2025-06-06,Unit Kerja 15,Odit consequuntur voluptates iure vel occaecati laudantium eius.,1,Proses,{}
SRT-2171,149/ITERA/BAU/2025,2025-04-19,Prodi Sains Data,Pariatur explicabo nemo rerum exercitationem minima.,1,Disposisi,{}
SRT-2172,150/ITERA/BAU/2024,2024-05-14,Biro Umum dan Keuangan,Placeat nostrum quia eaque molestiae harum.,5,Disposisi,{}
SRT-2173,151/ITERA/BAU/2023,2023-12-20,Unit Kerja 14,Tenetur eum veniam cupiditate a repellendus cum.,2,Proses,{}
SRT-2174,152/ITERA/BAU/2025,2025-04-15,Biro Umum dan Keuangan,Nulla distinctio aliquid.,5,Disposisi,{}
SRT-2175,153/ITERA/BAU/2025,2025-04-14,Unit Kerja 14,Possimus ipsam sed assumenda provident.,4,Proses,{}
SRT-2176,154/ITERA/BAU/2025,2025-01-11,Unit Kerja 14,Repellendus at voluptas iusto.,3,Disposisi,{}
SRT-2177,155/ITERA/BAU/2025,2025-07-10,Jurusan Teknologi Produksi dan Industri,Aperiam vitae blanditiis quam exercitationem.,2,Disposisi,{}
SRT-2178,156/ITERA/BAU/2025,2025-05-20,Unit Kerja 14,Provident odit optio laborum fugit neque quaerat.,5,Selesai,{}
SRT-2179,157/ITERA/BAU/2023,2023-12-16,Unit Kerja 14,Cum nisi ullam sed.,4,Disposisi,{}
SRT-2180,158/ITERA/BAU/2025,2025-03-21,Rektorat,Nam reiciendis suscipit ipsam tempora.,2,Disposisi,{}
SRT-2181,159/ITERA/BAU/2025,2025-09-21,Unit Kerja 13,Eligendi aliquid inventore facilis qui odit nesciunt.,4,Disposisi,{}
SRT-2182,160/ITERA/BAU/2024,2024-08-09,Fakultas Sains,A sed explicabo enim vero omnis ad.,3,Proses,{}
SRT-2183,161/ITERA/BAU/2025,2025-05-26,Unit Kerja 13,Beatae dolorem occaecati iure est.,5,Proses,{}
SRT-2184,162/ITERA/BAU/2024,2024-09-17,Rektorat,Soluta nemo atque qui explicabo nisi.,3,Proses,{}
SRT-2185,163/ITERA/BAU/2025,2025-02-22,Biro Umum dan Keuangan,Tempore numquam veritatis laudantium.,3,Disposisi,{}
SRT-2186,164/ITERA/BAU/2024,2024-10-23,Unit Kerja 15,Nemo unde illum quo illo.,2,Disposisi,{}
SRT-2187,165/ITERA/BAU/2025,2025-02-23,Biro Umum dan Keuangan,Tenetur eveniet amet praesentium officia quo ratione provident.,5,Selesai,{}
SRT-2188,166/ITERA/BAU/2023,2023-12-05,Prodi Sains Data,Assumenda doloremque suscipit ut asperiores soluta.,1,Proses,{}
SRT-2189,167/ITERA/BAU/2024,2024-04-25,Jurusan Teknologi Produksi dan Industri,Quam in ad quia nihil.,3,Disposisi,{}
SRT-2190,168/ITERA/BAU/2024,2024-08-03,Fakultas Teknologi Industri,Doloribus et occaecati dolore corrupti perspiciatis veritatis.,3,Proses,{}
SRT-2191,169/ITERA/BAU/2025,2025-01-29,Unit Kerja 11,Dicta laboriosam numquam at eos similique vitae.,2,Disposisi,{}
SRT-2192,170/ITERA/BAU/2025,2025-10-08,Biro Akademik Umum,Praesentium repudiandae nesciunt eligendi pariatur nemo quas.,3,Disposisi,{}
SRT-2193,171/ITERA/BAU/2024,2024-05-29,Prodi Informatika,Amet quisquam nihil iure.,3,Selesai,{}
SRT-2194,172/ITERA/BAU/2024,2024-09-23,Unit Kerja 13,Numquam molestiae reiciendis reprehenderit.,4,Proses,{}
SRT-2195,173/ITERA/BAU/2025,2025-03-27,Unit Kerja 13,Inventore omnis quod minus.,3,Proses,{}
SRT-2196,174/ITERA/BAU/2024,2024-04-15,Biro Umum dan Keuangan,Molestias magni quia vel ipsum.,4,Proses,{}
SRT-2197,175/ITERA/BAU/2025,2025-10-09,Fakultas Sains,Quae harum quisquam reprehenderit sapiente.,3,Proses,{}
SRT-2198,176/ITERA/BAU/2024,2024-07-20,Fakultas Teknologi Industri,Quia expedita consequuntur qui.,1,Disposisi,{}
SRT-2199,177/ITERA/BAU/2025,2025-08-12,Unit Kerja 14,Odio eveniet vel suscipit pariatur fugiat.,2,Proses,{}
SRT-2200,178/ITERA/BAU/2024,2024-04-16,Biro Akademik Umum,Reprehenderit quae culpa odio quo aspernatur.,3,Proses,{}
SRT-2201,179/ITERA/BAU/2023,2023-12-13,Unit Kerja 14,Nesciunt error aliquid sint velit veritatis blanditiis.,1,Disposisi,{}
SRT-2202,180/ITERA/BAU/2024,2024-09-14,Fakultas Sains,Maiores consectetur impedit odit.,4,Proses,{}
SRT-2203,181/ITERA/BAU/2025,2025-03-20,Unit Kerja 14,Voluptatum ipsum officiis voluptates non.,5,Selesai,{}
SRT-2204,182/ITERA/BAU/2025,2025-08-18,Unit Kerja 14,Quae veritatis iusto minus sed.,1,Proses,{}
SRT-2205,183/ITERA/BAU/2024,2024-08-07,Unit Kerja 15,Nostrum non illum eum aliquid aperiam labore.,4,Proses,{}
SRT-2206,184/ITERA/BAU/2025,2025-01-25,Unit Kerja 11,Mollitia autem delectus quisquam atque beatae repellendus.,4,Disposisi,{}
SRT-2207,185/ITERA/BAU/2025,2025-02-01,Biro Umum dan Keuangan,Soluta corporis natus impedit.,1,Selesai,{}
SRT-2208,186/ITERA/BAU/2024,2024-09-11,Jurusan Teknologi Produksi dan Industri,Magni voluptas velit beatae totam ipsa.,1,Selesai,{}
SRT-2209,187/ITERA/BAU/2024,2024-05-27,Unit Kerja 14,Dolorem laudantium quod alias.,3,Disposisi,{}
SRT-2210,188/ITERA/BAU/2025,2025-07-04,Biro Umum dan Keuangan,Ipsa totam unde molestias illum eveniet.,2,Disposisi,{}
SRT-2211,189/ITERA/BAU/2024,2024-02-04,Unit Kerja 14,Quas ipsa numquam quos.,4,Disposisi,{}
SRT-2212,190/ITERA/BAU/2024,2024-01-01,Prodi Sains Data,Ea reiciendis repellat ut commodi.,3,Proses,{}
SRT-2213,191/ITERA/BAU/2024,2024-06-22,Unit Kerja 13,Optio voluptatibus eveniet ut voluptates.,2,Disposisi,{}
SRT-2214,192/ITERA/BAU/2024,2024-08-11,Biro Umum dan Keuangan,Tempora impedit ipsa fugit minus.,4,Proses,{}
SRT-2215,193/ITERA/BAU/2024,2024-05-14,Prodi Sains Data,Facilis harum aspernatur incidunt.,1,Disposisi,{}
SRT-2216,194/ITERA/BAU/2024,2024-12-07,Unit Kerja 13,Voluptas at explicabo.,1,Disposisi,{}
SRT-2217,195/ITERA/BAU/2025,2025-11-21,Unit Kerja 14,Necessitatibus est quas voluptate voluptates eveniet ullam.,2,Proses,{}
SRT-2218,196/ITERA/BAU/2024,2024-09-14,Unit Kerja 11,Ab magni quo velit sint voluptas sed.,4,Disposisi,{}
SRT-2219,197/ITERA/BAU/2025,2025-10-11,Rektorat,Sit cupiditate quam.,5,Disposisi,{}
SRT-2220,198/ITERA/BAU/2024,2024-12-10,Unit Kerja 15,Qui fuga occaecati distinctio autem assumenda aliquam.,1,Disposisi,{}
SRT-2221,199/ITERA/BAU/2024,2024-04-06,Biro Akademik Umum,Necessitatibus itaque pariatur et consequuntur necessitatibus recusandae architecto.,5,Selesai,{}
SRT-2222,200/ITERA/BAU/2024,2024-12-18,Unit Kerja 15,Vero consectetur dolorem expedita eius.,3,Disposisi,{}
SRT-2223,201/ITERA/BAU/2024,2024-06-10,Prodi Informatika,Debitis facere ad reiciendis fuga error.,3,Disposisi,{}
SRT-2224,202/ITERA/BAU/2024,2024-08-11,UPT TIK,Nemo corrupti pariatur fugit quibusdam delectus quam necessitatibus.,3,Selesai,{}
